config,gold_pairs,pred_pairs,mean_pred_labels,precision,recall,micro_f1,macro_f1_all36,macro_f1_supported,sample_f1,any_precision,any_recall,any_f1,false_relevant,missed_all
grid_or_q0.45_g0.60,656,622,2.6244725738396624,0.6318327974276527,0.5990853658536586,0.6150234741784038,0.3397556118006145,0.42176558706283174,0.5533989685888421,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12
grid_or_q0.50_g0.55,656,622,2.6244725738396624,0.6318327974276527,0.5990853658536586,0.6150234741784038,0.3397556118006145,0.42176558706283174,0.5533989685888421,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12
grid_or_q0.50_g0.60,656,622,2.6244725738396624,0.6318327974276527,0.5990853658536586,0.6150234741784038,0.3397556118006145,0.42176558706283174,0.5533989685888421,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12
grid_or_q0.55_g0.45,656,623,2.628691983122363,0.6308186195826645,0.5990853658536586,0.6145426114151681,0.33938224899150066,0.4213021021963457,0.5526086665327172,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12
grid_or_q0.55_g0.40,656,623,2.628691983122363,0.6308186195826645,0.5990853658536586,0.6145426114151681,0.33938224899150066,0.4213021021963457,0.5526086665327172,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12
grid_or_q0.60_g0.35,656,623,2.628691983122363,0.6308186195826645,0.5990853658536586,0.6145426114151681,0.33938224899150066,0.4213021021963457,0.5526086665327172,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12
grid_or_q0.55_g0.35,656,623,2.628691983122363,0.6308186195826645,0.5990853658536586,0.6145426114151681,0.33938224899150066,0.4213021021963457,0.5526086665327172,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12
grid_or_q0.55_g0.50,656,623,2.628691983122363,0.6308186195826645,0.5990853658536586,0.6145426114151681,0.33938224899150066,0.4213021021963457,0.5526086665327172,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12
grid_or_q0.60_g0.40,656,623,2.628691983122363,0.6308186195826645,0.5990853658536586,0.6145426114151681,0.33938224899150066,0.4213021021963457,0.5526086665327172,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12
grid_or_q0.60_g0.45,656,623,2.628691983122363,0.6308186195826645,0.5990853658536586,0.6145426114151681,0.33938224899150066,0.4213021021963457,0.5526086665327172,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12
grid_or_q0.60_g0.50,656,623,2.628691983122363,0.6308186195826645,0.5990853658536586,0.6145426114151681,0.33938224899150066,0.4213021021963457,0.5526086665327172,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12
social_v5_qwen35_9b@0.40,656,448,1.890295358649789,0.7254464285714286,0.4954268292682927,0.5887681159420289,0.2815662300440658,0.34953049246849544,0.544333936106088,0.9855769230769231,0.9030837004405287,0.9425287356321839,3,22
social_v5_qwen35_9b@default,656,799,3.371308016877637,0.5331664580725908,0.649390243902439,0.5855670103092784,0.3169119294339427,0.3934079124007564,0.5449983677831779,0.9578059071729957,1.0,0.978448275862069,10,0
social_v5_qwen35_9b@0.30,656,799,3.371308016877637,0.5331664580725908,0.649390243902439,0.5855670103092784,0.3169119294339427,0.3934079124007564,0.5449983677831779,0.9578059071729957,1.0,0.978448275862069,10,0
social_v5_qwen35_9b@0.60,656,441,1.860759493670886,0.7278911564625851,0.4893292682926829,0.585232452142206,0.28148133426731126,0.34942510460769677,0.5405666063893911,0.9855769230769231,0.9030837004405287,0.9425287356321839,3,22
social_v5_gemma4_e4b@0.60,656,480,2.0253164556962027,0.675,0.49390243902439024,0.5704225352112676,0.3155661827508899,0.39173733031144947,0.5181577681577682,0.9680365296803652,0.933920704845815,0.9506726457399103,7,15
social_v5_gemma4_e4b@0.40,656,482,2.0337552742616034,0.6721991701244814,0.49390243902439024,0.5694200351493849,0.31498559324765446,0.39101659851432974,0.5171330544748266,0.9680365296803652,0.933920704845815,0.9506726457399103,7,15
old_union+qwen35_9b@0.40,656,651,2.7468354430379747,0.5714285714285714,0.5670731707317073,0.5692425401683244,0.32748393490415206,0.4065317812603267,0.5214252226910454,0.9574468085106383,0.9911894273127754,0.974025974025974,10,2
old_union+gemma4_e4b@0.60,656,684,2.8860759493670884,0.5555555555555556,0.5792682926829268,0.5671641791044776,0.3328849278925535,0.41323646221144583,0.5175303365176783,0.9574468085106383,0.9911894273127754,0.974025974025974,10,2
old_union+qwen35_9b@default,656,937,3.9535864978902953,0.4791889007470651,0.6844512195121951,0.5637162586315129,0.3474651381798011,0.43133603360251177,0.5283596150684758,0.9578059071729957,1.0,0.978448275862069,10,0
gemma4_e4b@default OR qwen35_9b@default,656,1047,4.417721518987341,0.4565425023877746,0.7286585365853658,0.5613623018203171,0.3281832090897251,0.40739984576655525,0.5188533688533689,0.9578059071729957,1.0,0.978448275862069,10,0
gemma4_e4b@default AND qwen35_9b@default,656,445,1.8776371308016877,0.6943820224719102,0.47103658536585363,0.5613079019073569,0.28891828391525,0.35865718003272407,0.5092827004219409,0.9559471365638766,0.9559471365638766,0.9559471365638766,10,10
social_v5_gemma4_e4b@default,656,693,2.9240506329113924,0.5209235209235209,0.5503048780487805,0.5352112676056338,0.29908521829545776,0.3712782020219476,0.48971694034985175,0.9578059071729957,1.0,0.978448275862069,10,0
gemma4_e4b@0.60 AND qwen35_9b@0.40,656,303,1.2784810126582278,0.8415841584158416,0.38871951219512196,0.5318039624608968,0.2538257104765743,0.31509398541919564,0.49826870269908247,0.989247311827957,0.8105726872246696,0.8910411622276029,2,43
old_union+social_v3_think@0.05,656,542,2.2869198312236287,0.577490774907749,0.4771341463414634,0.5225375626043406,0.28956690546119124,0.35946236540009946,0.4869794996377274,0.9578059071729957,1.0,0.978448275862069,10,0
best_old_union,656,468,1.9746835443037976,0.5705128205128205,0.4070121951219512,0.4750889679715303,0.24701797562083458,0.30664300421896706,0.44388337869350525,0.9613733905579399,0.986784140969163,0.9739130434782609,9,3
social_v3_think@0.30,656,278,1.1729957805907174,0.7014388489208633,0.2972560975609756,0.41755888650963596,0.187055686416575,0.23220705899988622,0.4037338423414373,0.9576271186440678,0.9955947136563876,0.9762419006479481,10,1
social_v3_think@0.05,656,278,1.1729957805907174,0.7014388489208633,0.2972560975609756,0.41755888650963596,0.187055686416575,0.23220705899988622,0.4037338423414373,0.9576271186440678,0.9955947136563876,0.9762419006479481,10,1
social_v3_think@default,656,278,1.1729957805907174,0.7014388489208633,0.2972560975609756,0.41755888650963596,0.187055686416575,0.23220705899988622,0.4037338423414373,0.9576271186440678,0.9955947136563876,0.9762419006479481,10,1
latent_v3_think@0.45,656,327,1.379746835443038,0.6146788990825688,0.30640243902439024,0.40895218718209564,0.20579849792491614,0.2554739974240338,0.36576920500971133,0.958904109589041,0.9251101321585903,0.9417040358744395,9,17
social_v5_e2b@0.30,656,260,1.0970464135021096,0.6615384615384615,0.2621951219512195,0.37554585152838427,0.13430996192610126,0.16672960790826363,0.37568146808653136,0.9570815450643777,0.9823788546255506,0.9695652173913043,10,4
social_v5_e2b@default,656,260,1.0970464135021096,0.6615384615384615,0.2621951219512195,0.37554585152838427,0.13430996192610126,0.16672960790826363,0.37568146808653136,0.9570815450643777,0.9823788546255506,0.9695652173913043,10,4
social_v5_e2b@0.40,656,208,0.8776371308016878,0.7355769230769231,0.23323170731707318,0.3541666666666667,0.12978376118831378,0.16111087595790674,0.3725805371374991,0.9894736842105263,0.8281938325991189,0.9016786570743405,2,39
recall_max_think@0.30,656,201,0.8481012658227848,0.7263681592039801,0.2225609756097561,0.34072345390898484,0.10428199504008696,0.12945351108424585,0.3477195097448261,0.9789473684210527,0.8193832599118943,0.8920863309352518,4,41
balanced_v2@0.30,656,188,0.7932489451476793,0.7287234042553191,0.20884146341463414,0.3246445497630332,0.11709398617125827,0.14535805179880334,0.33173598553345385,0.9824561403508771,0.7400881057268722,0.8442211055276382,3,59
grouped_think@0.35,656,144,0.6075949367088608,0.6388888888888888,0.1402439024390244,0.23,0.1485357511925948,0.18438920837701425,0.2042897327707454,1.0,0.3920704845814978,0.5632911392405063,0,138
