dataset_row_id,factor_key,true_sentiment,predicted_pair,pred_sentiment,sentiment_correct
64,crime_count,negative,True,negative,True
65,crime_count,negative,False,__missed_factor__,False
67,consumer_price_index,positive,True,negative,False
69,life_expectancy,positive,False,__missed_factor__,False
69,air_pollution,positive,True,neutral,False
70,divorce_rate,positive,True,positive,True
70,children_benefits,positive,False,__missed_factor__,False
71,industrial_production_index,positive,True,neutral,False
72,industrial_production_index,positive,True,neutral,False
73,enterprises_count,negative,True,negative,True
75,crime_count,positive,False,__missed_factor__,False
77,industrial_production_index,positive,True,positive,True
78,industrial_production_index,positive,True,neutral,False
79,industrial_production_index,negative,True,negative,True
81,life_expectancy,negative,False,__missed_factor__,False
82,unemployment_rate,positive,False,__missed_factor__,False
83,international_inflow,negative,True,neutral,False
83,unemployment_rate,negative,False,__missed_factor__,False
84,mortality_rate,negative,False,__missed_factor__,False
85,crime_count,negative,True,neutral,False
86,consumer_price_index,positive,True,neutral,False
89,international_inflow,positive,True,neutral,False
90,consumer_price_index,negative,False,__missed_factor__,False
91,crime_count,positive,False,__missed_factor__,False
92,enterprises_count,negative,True,neutral,False
93,crime_count,negative,True,negative,True
94,enterprises_count,positive,True,positive,True
95,crime_count,negative,True,negative,True
97,industrial_production_index,positive,True,neutral,False
98,industrial_production_index,positive,True,positive,True
99,crime_count,negative,True,negative,True
99,mortality_rate,negative,False,__missed_factor__,False
102,international_inflow,positive,True,positive,True
104,international_inflow,positive,False,__missed_factor__,False
105,industrial_production_index,negative,True,negative,True
107,industrial_production_index,positive,True,positive,True
109,crime_count,positive,True,negative,False
111,consumer_price_index,negative,True,negative,True
114,international_inflow,negative,True,neutral,False
117,crime_count,negative,False,__missed_factor__,False
119,unemployment_rate,negative,False,__missed_factor__,False
119,industrial_production_index,negative,True,negative,True
121,per_capita_income,positive,False,__missed_factor__,False
121,real_income_index,positive,False,__missed_factor__,False
123,enterprises_count,positive,True,positive,True
125,consumer_price_index,negative,True,negative,True
127,enterprises_count,positive,True,positive,True
129,crime_count,negative,False,__missed_factor__,False
129,air_pollution,negative,False,__missed_factor__,False
131,enterprises_count,positive,False,__missed_factor__,False
133,crime_count,negative,True,negative,True
135,industrial_production_index,negative,False,__missed_factor__,False
136,crime_count,negative,False,__missed_factor__,False
138,enterprises_count,negative,True,negative,True
139,air_pollution,positive,True,neutral,False
140,consumer_price_index,negative,False,__missed_factor__,False
140,mortality_rate,negative,False,__missed_factor__,False
142,industrial_production_index,positive,True,neutral,False
145,hospitals,positive,False,__missed_factor__,False
145,children_benefits,positive,False,__missed_factor__,False
147,enterprises_count,negative,False,__missed_factor__,False
148,crime_count,negative,False,__missed_factor__,False
149,life_expectancy,negative,False,__missed_factor__,False
149,crime_count,negative,True,negative,True
149,mortality_rate,negative,False,__missed_factor__,False
150,crime_count,negative,True,negative,True
151,life_expectancy,negative,False,__missed_factor__,False
151,hospitals,negative,True,negative,True
152,crime_count,negative,True,negative,True
154,international_inflow,negative,True,negative,True
155,industrial_production_index,positive,True,positive,True
155,enterprises_count,positive,False,__missed_factor__,False
157,enterprises_count,negative,True,neutral,False
158,consumer_price_index,positive,True,neutral,False
159,unemployment_rate,positive,False,__missed_factor__,False
159,industrial_production_index,positive,False,__missed_factor__,False
160,crime_count,negative,True,negative,True
161,unemployment_rate,negative,False,__missed_factor__,False
161,industrial_production_index,negative,True,negative,True
162,air_pollution,negative,True,neutral,False
163,consumer_price_index,negative,True,negative,True
163,crime_count,negative,False,__missed_factor__,False
164,crime_count,negative,True,negative,True
164,mortality_rate,negative,False,__missed_factor__,False
165,consumer_price_index,negative,False,__missed_factor__,False
166,industrial_production_index,negative,False,__missed_factor__,False
166,enterprises_count,negative,False,__missed_factor__,False
168,per_capita_income,negative,False,__missed_factor__,False
168,living_wage,negative,False,__missed_factor__,False
168,consumer_price_index,negative,True,negative,True
170,consumer_price_index,negative,True,negative,True
171,industrial_production_index,positive,True,positive,True
173,industrial_production_index,positive,False,__missed_factor__,False
173,air_pollution,positive,False,__missed_factor__,False
174,crime_count,negative,True,negative,True
176,mortality_rate,positive,False,__missed_factor__,False
177,crime_count,negative,False,__missed_factor__,False
180,industrial_production_index,positive,False,__missed_factor__,False
180,air_pollution,positive,False,__missed_factor__,False
181,crime_count,negative,False,__missed_factor__,False
182,crime_count,negative,False,__missed_factor__,False
184,crime_count,negative,False,__missed_factor__,False
185,crime_count,negative,True,negative,True
186,enterprises_count,negative,False,__missed_factor__,False
190,crime_count,negative,False,__missed_factor__,False
191,unemployment_rate,negative,False,__missed_factor__,False
191,industrial_production_index,negative,True,negative,True
192,crime_count,negative,False,__missed_factor__,False
192,air_pollution,negative,True,neutral,False
193,enterprises_count,positive,False,__missed_factor__,False
194,consumer_price_index,positive,True,negative,False
194,enterprises_count,positive,False,__missed_factor__,False
195,crime_count,negative,False,__missed_factor__,False
195,air_pollution,negative,False,__missed_factor__,False
197,international_inflow,positive,True,positive,True
198,crime_count,positive,False,__missed_factor__,False
199,per_capita_income,negative,False,__missed_factor__,False
199,crime_count,negative,False,__missed_factor__,False
200,crime_count,negative,False,__missed_factor__,False
200,mortality_rate,negative,False,__missed_factor__,False
201,industrial_production_index,positive,True,neutral,False
202,crime_count,negative,False,__missed_factor__,False
202,mortality_rate,negative,False,__missed_factor__,False
203,life_expectancy,positive,False,__missed_factor__,False
204,industrial_production_index,negative,False,__missed_factor__,False
205,enterprises_count,negative,True,negative,True
206,enterprises_count,negative,True,neutral,False
206,crime_count,negative,False,__missed_factor__,False
207,air_pollution,negative,True,negative,True
211,crime_count,negative,False,__missed_factor__,False
211,mortality_rate,negative,False,__missed_factor__,False
212,life_expectancy,positive,False,__missed_factor__,False
215,crime_count,negative,True,negative,True
216,industrial_production_index,positive,True,positive,True
216,enterprises_count,positive,False,__missed_factor__,False
217,industrial_production_index,negative,True,negative,True
218,enterprises_count,negative,True,neutral,False
220,enterprises_count,positive,True,positive,True
223,consumer_price_index,negative,True,negative,True
224,industrial_production_index,positive,False,__missed_factor__,False
225,consumer_price_index,negative,True,negative,True
226,crime_count,negative,False,__missed_factor__,False
227,industrial_production_index,negative,True,negative,True
228,industrial_production_index,positive,True,positive,True
230,industrial_production_index,positive,True,positive,True
230,enterprises_count,positive,False,__missed_factor__,False
231,consumer_price_index,negative,False,__missed_factor__,False
231,industrial_production_index,negative,True,negative,True
232,crime_count,positive,True,negative,False
234,international_inflow,positive,True,neutral,False
236,crime_count,negative,False,__missed_factor__,False
237,industrial_production_index,negative,True,neutral,False
238,crime_count,negative,False,__missed_factor__,False
238,mortality_rate,negative,False,__missed_factor__,False
240,enterprises_count,positive,True,positive,True
241,crime_count,positive,False,__missed_factor__,False
243,enterprises_count,positive,False,__missed_factor__,False
244,crime_count,positive,True,negative,False
245,industrial_production_index,positive,True,neutral,False
247,industrial_production_index,positive,True,neutral,False
248,crime_count,negative,True,negative,True
248,mortality_rate,negative,False,__missed_factor__,False
250,crime_count,positive,False,__missed_factor__,False
250,air_pollution,positive,False,__missed_factor__,False
252,crime_count,positive,False,__missed_factor__,False
252,mortality_rate,positive,False,__missed_factor__,False
253,consumer_price_index,neutral,True,negative,False
254,consumer_price_index,negative,True,negative,True
255,industrial_production_index,positive,False,__missed_factor__,False
256,industrial_production_index,negative,True,neutral,False
259,consumer_price_index,neutral,True,neutral,True
260,enterprises_count,positive,True,positive,True
261,crime_count,positive,False,__missed_factor__,False
262,crime_count,negative,False,__missed_factor__,False
264,crime_count,negative,False,__missed_factor__,False
265,consumer_price_index,negative,False,__missed_factor__,False
265,enterprises_count,negative,False,__missed_factor__,False
266,crime_count,negative,False,__missed_factor__,False
268,consumer_price_index,negative,True,negative,True
269,air_pollution,negative,False,__missed_factor__,False
270,per_capita_income,positive,False,__missed_factor__,False
270,real_income_index,positive,False,__missed_factor__,False
271,industrial_production_index,positive,True,positive,True
273,industrial_production_index,negative,False,__missed_factor__,False
273,crime_count,negative,False,__missed_factor__,False
273,air_pollution,negative,True,neutral,False
274,consumer_price_index,positive,True,neutral,False
274,industrial_production_index,positive,False,__missed_factor__,False
275,housing_area_per_capita,neutral,False,__missed_factor__,False
276,consumer_price_index,negative,False,__missed_factor__,False
276,industrial_production_index,negative,True,negative,True
277,enterprises_count,positive,True,neutral,False
278,housing_area_per_capita,negative,False,__missed_factor__,False
278,primary_housing_price_index,negative,False,__missed_factor__,False
280,enterprises_count,negative,False,__missed_factor__,False
281,per_capita_income,negative,False,__missed_factor__,False
281,enterprises_count,negative,False,__missed_factor__,False
282,industrial_production_index,positive,True,positive,True
282,enterprises_count,positive,True,neutral,False
283,air_pollution,positive,False,__missed_factor__,False
285,crime_count,negative,False,__missed_factor__,False
286,crime_count,negative,False,__missed_factor__,False
287,consumer_price_index,negative,True,negative,True
290,hospitals,positive,True,positive,True
290,enterprises_count,positive,False,__missed_factor__,False
291,consumer_price_index,negative,True,negative,True
291,industrial_production_index,negative,False,__missed_factor__,False
292,industrial_production_index,positive,True,neutral,False
293,international_inflow,positive,True,positive,True
294,international_inflow,positive,True,positive,True
297,crime_count,neutral,False,__missed_factor__,False
299,crime_count,positive,False,__missed_factor__,False
299,mortality_rate,positive,False,__missed_factor__,False
300,crime_count,negative,True,negative,True
300,mortality_rate,negative,False,__missed_factor__,False
302,crime_count,negative,True,negative,True
302,mortality_rate,negative,False,__missed_factor__,False
303,crime_count,positive,True,negative,False
304,crime_count,negative,True,negative,True
305,crime_count,positive,True,neutral,False
306,industrial_production_index,negative,True,neutral,False
306,crime_count,negative,False,__missed_factor__,False
306,air_pollution,negative,False,__missed_factor__,False
308,crime_count,negative,True,negative,True
308,mortality_rate,negative,False,__missed_factor__,False
311,international_inflow,negative,True,neutral,False
312,industrial_production_index,positive,True,positive,True
312,enterprises_count,positive,False,__missed_factor__,False
314,consumer_price_index,negative,False,__missed_factor__,False
314,industrial_production_index,negative,True,neutral,False
315,crime_count,negative,False,__missed_factor__,False
316,industrial_production_index,negative,True,negative,True
316,enterprises_count,negative,False,__missed_factor__,False
317,per_capita_income,positive,False,__missed_factor__,False
317,housing_area_per_capita,positive,False,__missed_factor__,False
318,industrial_production_index,positive,False,__missed_factor__,False
320,crime_count,negative,False,__missed_factor__,False
321,per_capita_income,positive,False,__missed_factor__,False
321,children_benefits,positive,False,__missed_factor__,False
323,enterprises_count,negative,True,neutral,False
324,international_outflow,negative,True,neutral,False
325,industrial_production_index,positive,True,positive,True
326,consumer_price_index,negative,True,negative,True
327,enterprises_count,positive,True,positive,True
328,crime_count,positive,True,negative,False
329,crime_count,negative,True,negative,True
330,consumer_price_index,negative,True,neutral,False
331,crime_count,positive,False,__missed_factor__,False
333,crime_count,negative,False,__missed_factor__,False
334,life_expectancy,positive,False,__missed_factor__,False
335,per_capita_income,negative,True,negative,True
335,living_wage,negative,True,negative,True
337,industrial_production_index,negative,True,neutral,False
337,crime_count,negative,False,__missed_factor__,False
338,industrial_production_index,positive,False,__missed_factor__,False
338,enterprises_count,positive,True,positive,True
341,industrial_production_index,positive,True,neutral,False
343,per_capita_income,positive,False,__missed_factor__,False
343,children_benefits,positive,True,positive,True
348,crime_count,negative,False,__missed_factor__,False
350,per_capita_income,positive,False,__missed_factor__,False
352,per_capita_income,positive,False,__missed_factor__,False
353,crime_count,positive,False,__missed_factor__,False
354,industrial_production_index,negative,True,neutral,False
354,crime_count,negative,False,__missed_factor__,False
355,industrial_production_index,positive,True,positive,True
355,enterprises_count,positive,False,__missed_factor__,False
359,crime_count,negative,False,__missed_factor__,False
360,air_pollution,positive,False,__missed_factor__,False
361,per_capita_income,positive,False,__missed_factor__,False
361,housing_area_per_capita,positive,False,__missed_factor__,False
363,industrial_production_index,negative,False,__missed_factor__,False
364,air_pollution,positive,False,__missed_factor__,False
366,industrial_production_index,positive,True,neutral,False
367,crime_count,positive,True,negative,False
369,enterprises_count,positive,True,positive,True
370,crime_count,negative,False,__missed_factor__,False
371,enterprises_count,positive,True,neutral,False
374,crime_count,negative,False,__missed_factor__,False
375,crime_count,positive,True,negative,False
376,industrial_production_index,positive,True,neutral,False
377,mortality_rate,negative,False,__missed_factor__,False
378,consumer_price_index,positive,True,negative,False
378,industrial_production_index,positive,False,__missed_factor__,False
379,industrial_production_index,neutral,True,neutral,True
381,crime_count,negative,True,negative,True
381,mortality_rate,negative,False,__missed_factor__,False
382,crime_count,positive,True,neutral,False
383,consumer_price_index,negative,False,__missed_factor__,False
384,industrial_production_index,positive,True,neutral,False
385,consumer_price_index,negative,True,neutral,False
388,air_pollution,positive,True,negative,False
390,consumer_price_index,positive,True,neutral,False
392,life_expectancy,negative,False,__missed_factor__,False
393,enterprises_count,positive,False,__missed_factor__,False
395,crime_count,positive,False,__missed_factor__,False
396,consumer_price_index,negative,True,negative,True
396,crime_count,negative,False,__missed_factor__,False
397,crime_count,negative,True,neutral,False
398,crime_count,negative,True,negative,True
398,mortality_rate,negative,False,__missed_factor__,False
399,crime_count,negative,False,__missed_factor__,False
399,mortality_rate,negative,False,__missed_factor__,False
401,mortality_rate,negative,False,__missed_factor__,False
403,industrial_production_index,positive,False,__missed_factor__,False
404,industrial_production_index,negative,True,negative,True
404,enterprises_count,negative,False,__missed_factor__,False
406,life_expectancy,negative,False,__missed_factor__,False
406,crime_count,negative,True,negative,True
407,crime_count,positive,False,__missed_factor__,False
409,crime_count,positive,True,negative,False
410,crime_count,negative,True,negative,True
411,industrial_production_index,positive,True,neutral,False
412,enterprises_count,neutral,True,neutral,True
413,crime_count,negative,True,negative,True
413,mortality_rate,negative,False,__missed_factor__,False
415,crime_count,positive,True,negative,False
416,industrial_production_index,positive,True,positive,True
417,air_pollution,negative,False,__missed_factor__,False
418,housing_area_per_capita,positive,False,__missed_factor__,False
418,primary_housing_price_index,positive,False,__missed_factor__,False
419,industrial_production_index,positive,True,positive,True
420,life_expectancy,negative,False,__missed_factor__,False
420,crime_count,negative,False,__missed_factor__,False
421,enterprises_count,positive,False,__missed_factor__,False
423,crime_count,positive,False,__missed_factor__,False
424,international_inflow,negative,False,__missed_factor__,False
424,international_outflow,negative,False,__missed_factor__,False
425,air_pollution,positive,False,__missed_factor__,False
426,industrial_production_index,positive,True,positive,True
427,enterprises_count,neutral,False,__missed_factor__,False
428,enterprises_count,negative,True,negative,True
429,enterprises_count,positive,False,__missed_factor__,False
431,industrial_production_index,negative,True,neutral,False
431,crime_count,negative,False,__missed_factor__,False
431,mortality_rate,negative,False,__missed_factor__,False
433,crime_count,positive,True,negative,False
434,industrial_production_index,negative,True,negative,True
435,life_expectancy,positive,False,__missed_factor__,False
436,consumer_price_index,negative,True,negative,True
437,international_inflow,positive,True,neutral,False
438,crime_count,negative,True,neutral,False
441,crime_count,positive,False,__missed_factor__,False
442,unemployment_rate,positive,False,__missed_factor__,False
442,industrial_production_index,positive,True,negative,False
444,enterprises_count,negative,False,__missed_factor__,False
446,enterprises_count,positive,True,positive,True
448,enterprises_count,negative,False,__missed_factor__,False
449,industrial_production_index,positive,True,positive,True
449,enterprises_count,positive,False,__missed_factor__,False
451,unemployment_rate,negative,False,__missed_factor__,False
451,enterprises_count,negative,True,negative,True
453,life_expectancy,negative,False,__missed_factor__,False
453,mortality_rate,negative,False,__missed_factor__,False
457,unemployment_rate,positive,False,__missed_factor__,False
457,industrial_production_index,positive,True,neutral,False
458,crime_count,positive,True,negative,False
459,crime_count,negative,False,__missed_factor__,False
460,crime_count,negative,False,__missed_factor__,False
461,housing_area_per_capita,negative,False,__missed_factor__,False
461,crime_count,negative,False,__missed_factor__,False
462,crime_count,negative,False,__missed_factor__,False
463,crime_count,positive,False,__missed_factor__,False
464,industrial_production_index,positive,False,__missed_factor__,False
465,enterprises_count,negative,False,__missed_factor__,False
466,industrial_production_index,positive,True,positive,True
466,enterprises_count,positive,False,__missed_factor__,False
467,enterprises_count,positive,True,neutral,False
469,crime_count,negative,True,negative,True
470,industrial_production_index,positive,True,neutral,False
472,crime_count,negative,True,negative,True
473,crime_count,negative,False,__missed_factor__,False
474,industrial_production_index,positive,False,__missed_factor__,False
474,enterprises_count,positive,True,neutral,False
475,consumer_price_index,negative,True,negative,True
476,industrial_production_index,negative,True,neutral,False
476,crime_count,negative,False,__missed_factor__,False
477,consumer_price_index,negative,False,__missed_factor__,False
477,crime_count,negative,True,neutral,False
478,enterprises_count,positive,False,__missed_factor__,False
479,international_outflow,neutral,False,__missed_factor__,False
480,international_inflow,positive,True,negative,False
480,crime_count,positive,False,__missed_factor__,False
481,air_pollution,negative,True,negative,True
483,housing_area_per_capita,positive,False,__missed_factor__,False
484,crime_count,negative,False,__missed_factor__,False
487,crime_count,positive,True,negative,False
489,industrial_production_index,positive,True,neutral,False
492,industrial_production_index,positive,True,positive,True
492,enterprises_count,positive,False,__missed_factor__,False
493,industrial_production_index,neutral,True,neutral,True
494,crime_count,positive,True,negative,False
495,air_pollution,negative,True,negative,True
496,unemployment_rate,negative,False,__missed_factor__,False
496,industrial_production_index,negative,True,negative,True
497,industrial_production_index,negative,False,__missed_factor__,False
498,industrial_production_index,positive,True,neutral,False
498,air_pollution,positive,False,__missed_factor__,False
499,enterprises_count,positive,True,positive,True
500,industrial_production_index,positive,True,neutral,False
501,enterprises_count,positive,True,positive,True
502,crime_count,positive,False,__missed_factor__,False
505,industrial_production_index,positive,True,positive,True
505,air_pollution,positive,False,__missed_factor__,False
507,enterprises_count,negative,False,__missed_factor__,False
510,crime_count,positive,True,neutral,False
511,crime_count,positive,False,__missed_factor__,False
512,unemployment_rate,positive,False,__missed_factor__,False
513,industrial_production_index,positive,True,neutral,False
516,life_expectancy,positive,False,__missed_factor__,False
517,housing_area_per_capita,negative,False,__missed_factor__,False
517,primary_housing_price_index,negative,False,__missed_factor__,False
518,crime_count,negative,True,negative,True
519,housing_area_per_capita,positive,False,__missed_factor__,False
520,crime_count,negative,False,__missed_factor__,False
522,international_inflow,negative,True,neutral,False
522,crime_count,negative,False,__missed_factor__,False
527,enterprises_count,positive,True,positive,True
528,crime_count,negative,False,__missed_factor__,False
528,air_pollution,negative,False,__missed_factor__,False
529,industrial_production_index,positive,True,neutral,False
529,enterprises_count,positive,False,__missed_factor__,False
530,crime_count,positive,False,__missed_factor__,False
531,enterprises_count,positive,True,neutral,False
532,consumer_price_index,positive,True,neutral,False
533,industrial_production_index,negative,True,positive,False
533,crime_count,negative,False,__missed_factor__,False
534,industrial_production_index,negative,False,__missed_factor__,False
535,mortality_rate,negative,False,__missed_factor__,False
536,crime_count,positive,False,__missed_factor__,False
537,industrial_production_index,positive,True,positive,True
537,air_pollution,positive,False,__missed_factor__,False
538,enterprises_count,positive,False,__missed_factor__,False
539,life_expectancy,negative,False,__missed_factor__,False
539,crime_count,negative,True,negative,True
548,enterprises_count,positive,True,negative,False
548,crime_count,positive,False,__missed_factor__,False
549,enterprises_count,positive,False,__missed_factor__,False
550,crime_count,negative,True,negative,True
553,crime_count,negative,False,__missed_factor__,False
554,crime_count,positive,True,negative,False
555,crime_count,negative,False,__missed_factor__,False
557,crime_count,positive,False,__missed_factor__,False
558,crime_count,negative,True,negative,True
560,industrial_production_index,negative,True,negative,True
560,crime_count,negative,False,__missed_factor__,False
562,crime_count,positive,False,__missed_factor__,False
563,enterprises_count,positive,True,neutral,False
564,consumer_price_index,positive,True,negative,False
565,crime_count,negative,True,negative,True
567,industrial_production_index,positive,True,neutral,False
568,hospitals,positive,True,positive,True
568,outpatient_clinics,positive,False,__missed_factor__,False
568,qualified_doctors,positive,False,__missed_factor__,False
569,crime_count,positive,False,__missed_factor__,False
572,life_expectancy,positive,False,__missed_factor__,False
573,life_expectancy,positive,False,__missed_factor__,False
573,qualified_doctors,positive,False,__missed_factor__,False
574,mortality_rate,negative,False,__missed_factor__,False
575,crime_count,positive,False,__missed_factor__,False
576,life_expectancy,positive,False,__missed_factor__,False
578,life_expectancy,positive,False,__missed_factor__,False
578,mortality_rate,positive,False,__missed_factor__,False
579,crime_count,negative,True,negative,True
580,enterprises_count,positive,False,__missed_factor__,False
581,life_expectancy,negative,False,__missed_factor__,False
581,crime_count,negative,True,negative,True
582,crime_count,positive,True,neutral,False
586,air_pollution,positive,True,neutral,False
587,housing_area_per_capita,negative,False,__missed_factor__,False
587,air_pollution,negative,True,negative,True
588,crime_count,negative,True,negative,True
590,industrial_production_index,positive,True,positive,True
591,industrial_production_index,positive,True,positive,True
591,air_pollution,positive,False,__missed_factor__,False
592,enterprises_count,negative,False,__missed_factor__,False
593,industrial_production_index,negative,True,negative,True
593,enterprises_count,negative,False,__missed_factor__,False
594,crime_count,negative,True,neutral,False
596,consumer_price_index,negative,True,negative,True
599,consumer_price_index,negative,True,negative,True
600,crime_count,negative,True,negative,True
600,mortality_rate,negative,False,__missed_factor__,False
601,industrial_production_index,negative,True,negative,True
602,industrial_production_index,negative,True,neutral,False
603,industrial_production_index,negative,True,negative,True
604,industrial_production_index,positive,True,positive,True
605,real_income_index,negative,False,__missed_factor__,False
605,consumer_price_index,negative,True,negative,True
606,industrial_production_index,positive,True,positive,True
607,crime_count,positive,True,neutral,False
611,housing_area_per_capita,negative,False,__missed_factor__,False
611,industrial_production_index,negative,True,negative,True
612,crime_count,negative,False,__missed_factor__,False
614,crime_count,negative,False,__missed_factor__,False
615,industrial_production_index,negative,True,negative,True
615,crime_count,negative,False,__missed_factor__,False
616,industrial_production_index,negative,True,neutral,False
617,industrial_production_index,positive,False,__missed_factor__,False
618,crime_count,negative,False,__missed_factor__,False
619,industrial_production_index,negative,False,__missed_factor__,False
621,consumer_price_index,positive,True,positive,True
622,industrial_production_index,positive,False,__missed_factor__,False
623,mortality_rate,negative,False,__missed_factor__,False
624,industrial_production_index,positive,True,neutral,False
625,life_expectancy,negative,False,__missed_factor__,False
625,crime_count,negative,True,negative,True
626,industrial_production_index,negative,True,neutral,False
626,crime_count,negative,False,__missed_factor__,False
627,industrial_production_index,positive,True,neutral,False
628,industrial_production_index,positive,True,positive,True
629,industrial_production_index,negative,False,__missed_factor__,False
630,crime_count,negative,True,negative,True
631,industrial_production_index,negative,True,neutral,False
633,industrial_production_index,positive,False,__missed_factor__,False
634,crime_count,negative,True,negative,True
636,industrial_production_index,negative,False,__missed_factor__,False
636,enterprises_count,negative,False,__missed_factor__,False
637,mortality_rate,negative,False,__missed_factor__,False
638,crime_count,negative,False,__missed_factor__,False
639,crime_count,negative,False,__missed_factor__,False
643,industrial_production_index,positive,True,neutral,False
646,mortality_rate,negative,False,__missed_factor__,False
647,industrial_production_index,negative,True,negative,True
648,consumer_price_index,negative,True,negative,True
648,industrial_production_index,negative,False,__missed_factor__,False
649,life_expectancy,negative,False,__missed_factor__,False
650,industrial_production_index,positive,True,neutral,False
652,industrial_production_index,negative,True,negative,True
654,enterprises_count,positive,True,positive,True
655,enterprises_count,positive,True,neutral,False
656,industrial_production_index,positive,True,positive,True
657,life_expectancy,negative,False,__missed_factor__,False
659,enterprises_count,positive,True,positive,True
661,international_inflow,positive,True,positive,True
662,crime_count,positive,False,__missed_factor__,False
663,enterprises_count,positive,True,neutral,False
664,crime_count,negative,True,neutral,False
666,housing_area_per_capita,negative,False,__missed_factor__,False
666,crime_count,negative,False,__missed_factor__,False
668,consumer_price_index,negative,True,neutral,False
670,crime_count,negative,False,__missed_factor__,False
671,crime_count,negative,True,negative,True
672,enterprises_count,positive,True,neutral,False
673,crime_count,negative,False,__missed_factor__,False
674,international_inflow,negative,True,neutral,False
674,crime_count,negative,False,__missed_factor__,False
675,enterprises_count,positive,False,__missed_factor__,False
676,industrial_production_index,negative,True,neutral,False
676,crime_count,negative,False,__missed_factor__,False
678,crime_count,negative,True,negative,True
678,mortality_rate,negative,False,__missed_factor__,False
679,life_expectancy,positive,False,__missed_factor__,False
679,hospitals,positive,True,positive,True
681,enterprises_count,positive,True,neutral,False
682,industrial_production_index,positive,True,neutral,False
683,enterprises_count,positive,True,neutral,False
684,hospitals,positive,False,__missed_factor__,False
684,enterprises_count,positive,True,positive,True
686,industrial_production_index,positive,True,positive,True
688,crime_count,negative,True,negative,True
689,hospitals,negative,False,__missed_factor__,False
689,crime_count,negative,True,neutral,False
692,industrial_production_index,positive,True,positive,True
693,industrial_production_index,positive,True,positive,True
694,industrial_production_index,positive,True,positive,True
696,enterprises_count,positive,False,__missed_factor__,False
697,per_capita_income,positive,False,__missed_factor__,False
699,industrial_production_index,positive,False,__missed_factor__,False
700,consumer_price_index,negative,True,neutral,False
701,air_pollution,negative,False,__missed_factor__,False
701,wastewater_discharge,negative,True,negative,True
702,consumer_price_index,positive,False,__missed_factor__,False
703,consumer_price_index,positive,True,neutral,False
704,industrial_production_index,positive,True,neutral,False
706,enterprises_count,positive,False,__missed_factor__,False
707,industrial_production_index,positive,True,neutral,False
708,enterprises_count,positive,True,neutral,False
710,industrial_production_index,negative,True,negative,True
710,crime_count,negative,False,__missed_factor__,False
712,industrial_production_index,positive,True,neutral,False
713,industrial_production_index,negative,True,neutral,False
715,preschool_coverage,negative,False,__missed_factor__,False
715,crime_count,negative,True,neutral,False
716,enterprises_count,positive,True,positive,True
717,international_inflow,negative,True,neutral,False
717,preschool_coverage,negative,False,__missed_factor__,False
719,industrial_production_index,positive,True,neutral,False
720,industrial_production_index,negative,False,__missed_factor__,False
720,enterprises_count,negative,False,__missed_factor__,False
721,housing_area_per_capita,positive,False,__missed_factor__,False
722,consumer_price_index,negative,True,negative,True
723,life_expectancy,positive,False,__missed_factor__,False
724,crime_count,negative,True,negative,True
726,crime_count,negative,True,negative,True
726,mortality_rate,negative,False,__missed_factor__,False
728,industrial_production_index,positive,False,__missed_factor__,False
730,industrial_production_index,positive,True,neutral,False
731,enterprises_count,positive,True,neutral,False
732,housing_area_per_capita,negative,False,__missed_factor__,False
